player_id,name,team,clay_rank,clay_ppr,clay_games,carries,rush_yds,rush_td,targets,rec,rec_yds,rec_td,clay_target_share,clay_targ_pct,clay_yards_share
00-0037664,Alec Pierce,IND,30,203,17,0,0,0,115,67,1026,6,0.2224,0.22,0.2654
00-0036252,Michael Pittman Jr.,PIT,31,197,17,0,0,0,130,88,860,4,0.2293,0.23,0.2189
00-0035640,DK Metcalf,PIT,32,195,17,0,0,0,113,65,941,6,0.1993,0.2,0.2396
00-0039849,Marvin Harrison Jr.,ARI,33,194,17,0,0,0,126,69,955,5,0.2218,0.22,0.2439
00-0041029,Jordyn Tyson,NO,34,188,17,0,0,0,109,68,918,5,0.2019,0.2,0.229
00-0038606,Parker Washington,JAX,35,187,17,8,39,0,108,64,850,5,0.1925,0.19,0.2088
00-0038124,Christian Watson,GB,36,186,17,2,13,0,94,55,868,7,0.1794,0.18,0.2101
00-0040667,Matthew Golden,GB,37,186,17,4,25,0,105,67,872,5,0.2004,0.2,0.211
00-0031408,Mike Evans,SF,38,183,17,0,0,0,101,57,905,6,0.192,0.19,0.2092
00-0034960,Jakobi Meyers,JAX,39,182,17,6,32,0,108,70,766,5,0.1925,0.19,0.1882
00-0038559,Michael Wilson,ARI,40,177,17,0,0,0,115,71,861,3,0.2025,0.2,0.2199
00-0039893,Brian Thomas Jr.,JAX,41,176,17,4,23,0,102,57,860,5,0.1818,0.18,0.2113
00-0038117,Wan'Dale Robinson,TEN,42,174,17,4,22,0,116,79,817,2,0.2098,0.21,0.2091
00-0038997,Josh Downs,IND,43,173,17,2,11,0,110,79,760,3,0.2128,0.21,0.1966
00-0040867,Makai Lemon,PHI,44,173,17,0,0,0,93,59,836,5,0.1914,0.19,0.2145
00-0039894,Xavier Worthy,KC,45,173,17,12,76,1,92,55,788,5,0.1694,0.17,0.1906
00-0035719,Deebo Samuel,SF,46,172,17,22,109,1,80,55,735,4,0.1521,0.15,0.1699
00-0037261,Khalil Shakir,BUF,47,171,17,2,12,0,92,70,765,4,0.1797,0.18,0.1874
00-0039146,Jayden Reed,GB,48,171,17,9,65,0,89,63,729,4,0.1698,0.17,0.1764
00-0038994,Jordan Addison,MIN,49,170,17,2,14,0,100,60,770,5,0.1799,0.18,0.1952
00-0038544,Quentin Johnston,LAC,50,165,17,2,11,0,90,53,774,6,0.1698,0.17,0.1938
00-0041547,KC Concepcion,CLE,51,162,17,6,35,0,98,61,771,3,0.1918,0.19,0.2121
00-0037816,Romeo Doubs,NE,52,160,17,0,0,0,83,56,714,6,0.1612,0.16,0.1698
00-0033921,Chris Godwin,TB,53,158,17,0,0,0,91,60,701,5,0.172,0.17,0.1773
00-0039491,Jalen Coker,CAR,54,149,17,0,0,0,89,61,698,3,0.1705,0.17,0.1839
00-0037545,Rashid Shaheed,SEA,55,144,17,14,87,1,71,43,647,3,0.1426,0.14,0.1573
00-0034837,Calvin Ridley,TEN,56,144,17,6,32,0,88,46,722,4,0.1591,0.16,0.1847
00-0040130,Jayden Higgins,HOU,57,141,17,0,0,0,88,55,667,3,0.1624,0.16,0.1644
00-0036407,Jerry Jeudy,CLE,58,138,17,0,0,0,93,51,709,3,0.182,0.18,0.195
00-0038563,Tre Tucker,LV,59,138,17,10,58,0,81,48,656,3,0.1511,0.15,0.1704
00-0039855,Jalen McMillan,TB,60,133,17,4,25,0,75,47,589,4,0.1418,0.14,0.149
00-0041037,Denzel Boston,CLE,61,132,17,0,0,0,83,52,638,3,0.1624,0.16,0.1755
00-0041489,Germie Bernard,PIT,62,127,17,2,12,0,79,47,594,3,0.1393,0.14,0.1512
00-0039890,Adonai Mitchell,NYJ,63,125,17,2,11,0,74,42,611,4,0.1396,0.14,0.1544
00-0037291,Jalen Nailor,LV,64,124,17,2,11,0,76,44,606,3,0.1418,0.14,0.1574
00-0036550,Rashod Bateman,BAL,65,123,17,0,0,0,65,38,615,4,0.1419,0.14,0.156
00-0041040,Antonio Williams,WAS,66,115,17,4,22,0,62,40,519,3,0.1204,0.12,0.1291
00-0036259,Jauan Jennings,MIN,67,115,17,0,0,0,72,46,486,3,0.1295,0.13,0.1232
00-0039342,Xavier Legette,CAR,68,112,17,2,11,0,73,42,500,3,0.1398,0.14,0.1317
00-0040718,Travis Hunter,JAX,69,112,17,2,11,0,68,42,496,3,0.1212,0.12,0.1218
00-0041035,De'Zhaun Stribling,SF,70,110,17,0,0,0,59,36,543,3,0.1122,0.11,0.1255
00-0039880,Malik Washington,MIA,71,106,17,13,77,0,60,41,432,2,0.12,0.12,0.1165
